Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Level of requirement,Observation Status,Reporting Type,Units,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",792,TŸrkiye,TOTAL,TOTAL,A,G,NUMBER,,25,38,47,65,78,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",800,Uganda,TOTAL,TOTAL,A,G,NUMBER,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",804,Ukraine,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",784,United Arab Emirates,TOTAL,TOTAL,A,G,NUMBER,,5,8,1,21,56,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",826,United Kingdom of Great Britain and Northern Ireland,TOTAL,TOTAL,A,G,NUMBER,,241,264,293,428,481,56,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",840,United States of America,TOTAL,TOTAL,A,G,NUMBER,,366,46,649,853,188,1293,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",858,Uruguay,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",704,Viet Nam,TOTAL,TOTAL,A,G,NUMBER,,,,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",1,World,TOTAL,TOTAL,A,G,NUMBER,2276,2292,2449,4046,3981,4568,5203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",716,Zimbabwe,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
